serial,setting,dataset_name,method,acc,acc_std,acc_max,acc_min,ada_ratio,acc_mean_std_latex,acc_mean_std
24,fz_448,all,hivit_base_patch16_224.dino_fz,66.93,7.75,77.93032220445109,49.54237581176955,11.578737037249173,66.93\pm{7.75},66.93+-7.75
24,fz_448,all,hivit_base_patch16_clip_224.laion2b_fz,78.47,10.58,90.99123091715931,59.52745274527451,13.488465797232543,78.47\pm{10.58},78.47+-10.58
24,fz_448,all,hivit_base_patch16_siglip_224.v2_webli_fz,36.88,5.6,45.090607538778265,25.50756640510069,15.172171277095245,36.88\pm{5.6},36.88+-5.6
24,fz_448,all,hivit_base_patch16_224.mae_fz,24.35,6.99,37.82028202820282,10.59751699369997,28.72057146451467,24.35\pm{6.99},24.35+-6.99
24,fz_448,all,hiresnet50.tv_in1k_fz,49.16,3.61,52.63110485225133,36.94789811969753,7.335705445338025,49.16\pm{3.61},49.16+-3.61
24,fz_448,all,hiresnet50.tv2_in1k_fz,40.81,3.23,44.58595859585959,30.323737188373,7.912075797509875,40.81\pm{3.23},40.81+-3.23
24,fz_448,all,hiresnet50.gluon_in1k_fz,45.59,3.22,48.413525738262,34.406593039938606,7.062310862989698,45.59\pm{3.22},45.59+-3.22
24,fz_448,all,hiresnet50.a1_in1k_fz,37.8,4.15,42.9012901290129,26.0011950946521,10.986617939465317,37.8\pm{4.15},37.8+-4.15
24,fz_448,all,hiresnet50.in21k_miil_fz,54.38,8.73,66.92388196609488,34.50547650607709,16.04849113832872,54.38\pm{8.73},54.38+-8.73
24,fz_448,all,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,57.22,4.79,63.54471654287234,41.73258392203372,8.375518901088185,57.22\pm{4.79},57.22+-4.79
24,fz_448,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,55.11,5.28,62.14032375846974,39.43254236671206,9.575644285044563,55.11\pm{5.28},55.11+-5.28
24,fz_448,all,hiresnet50.in1k_mocov3_fz,49.43,4.99,54.18541854185418,36.10432278480142,10.094387333061707,49.43\pm{4.99},49.43+-4.99
